,School,State,ACT_Score,SAT_Score,Retention_Rate,Ave_Earning,Graduation_Rate
73,Humboldt State University,CA,21.0,1074.0,0.7138,34180.0,0.1618
74,Life Pacific University,CA,19.0,1002.0,0.746,32294.0,0.2667
75,University of La Verne,CA,23.0,1120.0,0.827,48057.0,0.5408
76,La Sierra University,CA,20.0,1022.0,0.7812,40563.0,0.3955
77,The Master's University and Seminary,CA,24.0,1143.0,0.8625,42489.0,0.4808
78,Loyola Marymount University,CA,29.0,1321.0,0.8997,56826.0,0.7565
79,Menlo College,CA,21.0,1042.0,0.6579,54374.0,0.4324
80,Mills College,CA,25.0,1158.0,0.7485,47240.0,0.5829
81,Mount Saint Mary's University,CA,20.0,1031.0,0.7294,57246.0,0.4437
82,Notre Dame de Namur University,CA,19.0,983.0,0.6154,55111.0,0.4
83,Occidental College,CA,30.0,1368.0,0.8989,47008.0,0.8094
84,Otis College of Art and Design,CA,23.0,1158.0,0.7734,44072.0,0.541
85,Hope International University,CA,21.0,1022.0,0.5761,36584.0,0.3009
86,Pacific Union College,CA,22.0,1080.0,0.8248,48131.0,0.3545
87,University of the Pacific,CA,26.0,1240.0,0.8214,58630.0,0.5045
88,Pepperdine University,CA,29.0,1330.0,0.9059,61345.0,0.7294
89,Point Loma Nazarene University,CA,27.0,1240.0,0.8479,48004.0,0.705
90,Pomona College,CA,33.0,1468.0,0.9659,44630.0,0.8897
91,University of Redlands,CA,26.0,1189.0,0.8462,53517.0,0.6755
92,San Diego State University,CA,25.0,1213.0,0.8889,48314.0,0.3646
93,University of San Diego,CA,28.0,1285.0,0.8981,59002.0,0.6819
94,San Francisco State University,CA,20.0,1054.0,0.8041,50184.0,0.2157
95,University of San Francisco,CA,26.0,1237.0,0.8315,64896.0,0.6573
96,William Jessup University,CA,22.0,1084.0,0.8333,41862.0,0.4815
97,San Jose State University,CA,23.0,1143.0,0.8333,57540.0,0.1427
98,Santa Clara University,CA,30.0,1366.0,0.9458,77174.0,0.8401
99,Scripps College,CA,32.0,1409.0,0.9174,52863.0,0.8128
100,Simpson University,CA,23.0,1078.0,0.6364,40989.0,0.4966
101,Saint Mary's College of California,CA,25.0,1174.0,0.8467,57421.0,0.6769
102,Sonoma State University,CA,21.0,1072.0,0.8051,48978.0,0.299
103,Vanguard University of Southern California,CA,20.0,1039.0,0.7454,40449.0,0.5885
104,University of Southern California,CA,32.0,1445.0,0.9666,65748.0,0.783
105,Thomas Aquinas College,CA,28.0,1307.0,0.9111,36574.0,0.7143
106,Westmont College,CA,27.0,1249.0,0.8215,45657.0,0.7062
107,Whittier College,CA,23.0,1126.0,0.763,42157.0,0.601
108,Woodbury University,CA,22.0,1056.0,0.7739,47880.0,0.3107
109,Adams State University,CO,20.0,994.0,0.5427,32729.0,0.1601
110,University of Colorado Denver/Anschutz Medical Campus,CO,24.0,1132.0,0.7152,48167.0,0.2179
111,University of Colorado Colorado Springs,CO,23.0,1123.0,0.6886,40762.0,0.2421
